Linux 6.11.0-17-generic (Saldamelik) 	23/02/2025 	_x86_64_	(16 CPU)

18:25:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:39     all    2,19    0,00    1,13    0,06    0,00    0,00    0,00    0,00    0,00   96,61
18:25:39       0    2,04    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   96,94
18:25:39       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:39       2   23,76    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   73,27
18:25:39       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:39       4    2,04    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   96,94
18:25:39       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:39       6    4,04    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   95,96
18:25:39       7    1,01    0,00    9,09    0,00    0,00    0,00    0,00    0,00    0,00   89,90
18:25:39       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:39       9    0,99    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00   98,02
18:25:39      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:39      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:39      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:39      13    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:39      14    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
18:25:39      15    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01

18:25:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:40     all   14,00    0,00    3,76    0,19    0,00    0,00    0,00    0,00    0,00   82,05
18:25:40       0   18,37    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   78,57
18:25:40       1   20,20    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   75,76
18:25:40       2   38,78    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   56,12
18:25:40       3    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
18:25:40       4   25,25    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   69,70
18:25:40       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:40       6   28,28    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   68,69
18:25:40       7    7,00    0,00    9,00    1,00    0,00    0,00    0,00    0,00    0,00   83,00
18:25:40       8   15,46    0,00    5,15    0,00    0,00    0,00    0,00    0,00    0,00   79,38
18:25:40       9   10,20    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   86,73
18:25:40      10   13,13    0,00    3,03    1,01    0,00    0,00    0,00    0,00    0,00   82,83
18:25:40      11    9,28    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   88,66
18:25:40      12   10,20    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   85,71
18:25:40      13    8,08    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   89,90
18:25:40      14    5,43    0,00    7,61    0,00    0,00    0,00    0,00    0,00    0,00   86,96
18:25:40      15   13,13    0,00    3,03    1,01    0,00    0,00    0,00    0,00    0,00   82,83

18:25:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:41     all    9,11    0,00    2,22    0,06    0,00    0,06    0,00    0,00    0,00   88,54
18:25:41       0   19,39    0,00    3,06    1,02    0,00    0,00    0,00    0,00    0,00   76,53
18:25:41       1   10,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   87,00
18:25:41       2   21,43    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   75,51
18:25:41       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:41       4   17,35    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   77,55
18:25:41       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:41       6   12,37    0,00    3,09    0,00    0,00    0,00    0,00    0,00    0,00   84,54
18:25:41       7    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
18:25:41       8   17,35    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   80,61
18:25:41       9   10,20    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   87,76
18:25:41      10   10,10    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   87,88
18:25:41      11    8,08    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   90,91
18:25:41      12    6,06    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   92,93
18:25:41      13    4,04    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   95,96
18:25:41      14    3,03    0,00    6,06    0,00    0,00    0,00    0,00    0,00    0,00   90,91
18:25:41      15    6,06    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   90,91

18:25:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:42     all    2,45    0,00    1,13    0,06    0,00    0,00    0,00    0,00    0,00   96,36
18:25:42       0    8,16    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   89,80
18:25:42       1   11,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   88,00
18:25:42       2    7,07    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   91,92
18:25:42       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:42       4    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
18:25:42       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:42       6    2,02    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   95,96
18:25:42       7    2,00    0,00    8,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
18:25:42       8    2,97    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   96,04
18:25:42       9    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
18:25:42      10    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:42      11    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
18:25:42      12    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:42      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:42      14    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:42      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:25:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:43     all    2,14    0,00    0,63    0,00    0,00    0,00    0,00    0,00    0,00   97,24
18:25:43       0    6,12    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   91,84
18:25:43       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:43       2   24,24    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   74,75
18:25:43       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:43       4    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:43       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:43       6    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:43       7    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:43       8    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:43       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:43      10    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
18:25:43      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:43      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:43      13    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:43      14    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
18:25:43      15    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

18:25:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
